Feature,SHAP Value
MtdModSTATIC,0.010714285714285723
MtdReplacInvkd,0.0057142857142857195
MtdNmCtnReplac,0.0050000000000000044
MtdNmCtnEncodNotEncoding,0.0050000000000000044
MtdNmCtnSaniti,0.0050000000000000044
MtdModFINAL,0.003571428571428575
MtdNmStrtHas,0.0
MtdNmCtnStrip,0.0
MtdNmCtnUnescape,0.0
MtdNmCtnVerif,0.0
ParamTypCtnStr,0.0
MtdModPUBLIC,0.0
ParamDfRtn,0.0
ParamTypCtnCharsequence,0.0
MtdEscapInvkd,0.0
ClsSTATIC,0.0
ClasRegexInvkd,0.0
ClsNmEndsEncoder,0.0
MtdNmCtnEscapeNotUnescape,0.0
ClsPUBLIC,0.0
ClsNmCtnEncod,0.0
MtdStripInvkd,0.0
ClasSanitiInvkd,0.0
MtdNmCtnRegex,0.0
ClasEncodInvkd,0.0
ImplicitMtd,0.0
MtdConstructor,0.0
MtdNmStrtSet,0.0
RtnTypCharsequence,0.0
ClsNmCtnSaniti,0.0
MtdEncodInvkd,0.0
ClsFINAL,0.0
ClsNmCtnValid,0.0
ClasEscapInvkd,0.0
RtnTypByte[],0.0
MtdNmStrtGet,0.0
MtdSanitiInvkd,0.0
ClsNmCtnPage,0.0
MtdCtnParams,0.0
ParamTypCtnChar[],0.0
MtdRegexInvkd,0.0
MtdNmStrtPut,0.0
ClsNmCtnEscap,0.0
ParamTypCtnByte[],0.0
ParamTypCtnStringbuilder,0.0
sanitizer,0.0
MtdMatchInvkd,0.0
RtnTypStr,-0.0021428571428571447
ParamTypEqRtnTyp,-0.0028571428571428597
